name,religious_order,house_type,nearest_town,county,year_founded,content,coordinates
St Sabrina Abbey,,Abbey,Preston,Lancashire,2025,"Founded by Sabrina, this monastery is devoted to the ancient ritual of feline devotion.
Led by an abbess, the nuns devote themselves to the cultivation of catnip and sustain their community economy by selling bags of treats and toys.",53.759°N 2.699°W
Deer Abbey,Cistercian,Abbey,Unknown,Aberdeenshire,1219,,"57.52331571273068, -2.054280559"
St Sabrina,,Abbey,Preston,Lancashire,2025,"Founded by Sabrina, this monastery is devoted to the ancient ritual of feline devotion.
Led by an abbess, the nuns devote themselves to the cultivation of catnip and sustain their community economy by selling bags of treats and toys.",53.759°N 2.699°W
Whalley,Cistercian,Abbey,Whalley,Lancashire,1296,"Whalley Abbey is a former Cistercian abbey in Whalley, Lancashire, England. After the dissolution of the monasteries, the abbey was largely demolished and a country house was built on the site. In the 20th century the house was modified and it is now the Retreat and Conference House of the Diocese of Blackburn of the Church of England. The ruins of the abbey are recorded in the National Heritage List for England as a designated Grade I listed building, and are a Scheduled Ancient Monument.",53.8202°N 2.4104°W
Deer,Cistercian,Abbey,,Aberdeenshire,1219,,"57.5233157127306, -2.05428055896505"
Saddell,Cistercian,Abbey,,Argyll and Bute,1160,,"55.5320473148363, -5.51110030578696"
Woburn,Cistercian,Abbey,,Bedfordshire,1145,,"51.9831, -0.5968"
Biddlesden,Cistercian,Abbey,,Buckinghamshire,1147,,"52.0539, -1.0797"
Medmenham,Cistercian,Abbey,,Buckinghamshire,1202,,"51.554, -0.838"
Sawtry,Cistercian,Abbey,,Cambridgeshire,1147,,"52.4277526660619, -0.240625649450749"
Darnhall,Cistercian,Abbey,,Cheshire,1266,,"53.1668625150924, -2.52899772818544"
Vale Royal,Cistercian,Abbey,,Cheshire,1274,,"53.224627805701, -2.54263673909986"
Combermere,Cistercian,Abbey,,Cheshire,1133,,"52.993611, -2.613889"
Dieulacres,Cistercian,Abbey,,Cheshire,1214,,"53.117934, -2.026715"
Poulton,Cistercian,Abbey,,Cheshire,1153,,"53.1192, -2.8924"
Stanlow,Cistercian,Abbey,,Cheshire,1178,,"53.29, -2.86"
Basingwerk,Cistercian,Abbey,,Clwyd,1131,,"53.288, -3.208"
Aberconwy,Cistercian,Abbey,,Clwyd,1190,,"53.2807, -3.8289"
Valle Crucis,Cistercian,Abbey,,Clwyd,1201,,"52.98918, -3.187142"
Furness,Cistercian,Abbey,,Cumbria,1135,,"54.1357945775063, -3.19824680872649"
Calder,Cistercian,Abbey,,Cumbria,1143,,"54.444167, -3.466111"
Holmcultram,Cistercian,Abbey,,Cumbria,1246,,"54.8453365000834, -3.2828837185107"
Newenham,Cistercian,Abbey,,Devon,1247,,"50.7749863352125, -3.00000276522006"
Buckfast,Cistercian,Abbey,,Devon,1136,,"50.4928192932746, -3.77588314995602"
Buckland,Cistercian,Abbey,,Devon,1278,,"50.4811645041418, -4.1336401420832"
Bindon,Cistercian,Abbey,,Dorset,1172,,"50.682, -2.22"
Dundrennan,Cistercian,Abbey,,Dumfries and Galloway,1142,,"54.8067696943738, -3.94723244463967"
Glenluce,Cistercian,Abbey,,Dumfries and Galloway,1133,,"54.889729395917, -4.83152622360752"
Sweetheart,Cistercian,Abbey,,Dumfries and Galloway,1273,,"54.9802225432827, -3.61899897586265"
Trawscoed,Cistercian,Abbey,,Dyfed,1173,,"52.3399731228628, -3.9539981843883"
Whitland,Cistercian,Abbey,,Dyfed,1140,,"51.83367, -4.60189"
Strata Florida,Cistercian,Abbey,,Dyfed,1164,,"52.275104, -3.839376"
Tilty,Cistercian,Abbey,,Essex,1153,,"51.9141662695178, 0.324615410479937"
Coggleshall,Cistercian,Abbey,,Essex,1140,,"51.8691479349598, 0.692491311680949"
Balmerino,Cistercian,Abbey,,Fife,1227,,"56.409167, -3.041111"
Culross,Cistercian,Abbey,,Fife,1217,,"56.0583092633787, -3.62539989263377"
